accepting,acceptng
according,acordng
actually,actuly
add,ad
adding,adng
adds,ads
after,aftr
airing,airng
all,al
allow,alow
allowing,alowng
allows,alows
already,alredy
although,altho
amounting,amountng
animal,anml
animals,anmls
another,anothr
answer,ansr
answered,ansrd
answering,ansrng
answers,ansrs
anything,anythng
appear,apear
appearing,apearng
appears,apears
approach,aproach
approaching,aproachng
are,ar
argue,argu
argues,argus
arming,armng
arrived,arived
article,articl
articles,articls
asked, askd
asking,askng
attack,atak
attacking,atakng
attacks,ataks
attention,atention
attentions,atentions
author,authr
authors,authrs
available,availbl
back,bak
backing,bakng
backs,baks
banking,bankng
become,becom
becomes,becoms
before,befor
behavior,behavir
behaviors,behavirs
believe,beleve
believed,beleved
believes,beleves
better,betr
betters,betrs
bigger,bigr
biggest,bigst
billion,bilion
billions,bilions
black,blak
blacking,blakng
blacks,blaks
blood,blod
board,bord
boarding,bordng
boards,bords
booking,bookng
bought,bot
boxes,boxs
boxing,boxng
boxing,boxng
branches,branchs
break,brek
breaking,brekng
breaks,breks
bringing,bringng
brother,brothr
brothers,brothrs
brought,brot
build,bild
building,bildng
buildings,bildngs
builds,bilds
built,bilt
business,busness
buy,by
buying,byng
buys,bys
call,cal
called,cald
calling,calng
calls,cals
campaign,campain
campaigning,campainng
campaigns,campains
can't,cant
cannot,canot
careering,careerng
carried,carrid
catch,cach
catching,cachng
caught,caut
center,centr
centers,centrs
central,centrl
centuries,centuris
certain,certn
certainly,certnly
changed,chanjed
character,caractr
characters,caractrs
cities,citis
clearing,clearng
climbed,climbd
colored,colord
coloring,colorng
come,com
comes,coms
common,comn
commons,comns
community,comunity
company,compny
concerning,concernng
conditioning,conditionng
consider,considr
considered,considrd
considering,considrng
considers,considrs
continue,continu
continues,continus
costing,costng
could,cud
countries,cuntris
country,cuntry
couple,cupl
couples,cupls
course,corse
courses,corses
court,cort
courting,cortng
courts,corts
cover,covr
covered,covrd
covering,covrng
covers,covrs
cried,cryd
culture,cultur
cultures,culturs
current,curent
currents,curents
daughter,dautr
daughters,dautrs
dead,ded
dealing,dealng
death,deth
deaths,deths
determine,determn
determines,determns
developed,developd
developing,developng
development,developmnt
developments,developmnts
difference,difrnce
differences,difrnces
different,difrnt
difficult,dificlt
director,directr
directors,directrs
disease,disese
diseases,diseses
doctor,doctr
doctoring,doctrng
doctors,doctrs
does,dos
does,dos
dollars,dolrs
don't,dont
done,don
door,dor
doors,dors
downing,downng
drawing,drawng
dressed,dresd
dropped,dropd
earlier,erlir
early,erly
easier,esir
easy,esy
eating,eatng
economic,ecnomic
economics,ecnomics
economy,econmy
effect,efect
effecting,efectng
effects,efects
effort,efrt
efforts,efrts
eight,eit
eights,eits
either,eithr
ending,endng
enough,enuf
enter,entr
entering,entrng
enters,entrs
especially,especialy
europe,europ
evening,evenng
ever,evr
every,evry
everyone,evryone
everything,evrything
evidence,evidnce
evidences,evidnces
expecting,expectng
explained,explaind
explaining,explainng
factor,factr
factors,factrs
fall,fal
falling,falng
falls,fals
families,famlis
family,famly
farther,farthr
father,fathr
fathers,fathrs
federal,fedrl
feeling,feelng
fell,fel
fight,fyt
fighting,fytng
fights,fyts
figure,figr
figures,figrs
fill,fil
filled,fild
filling,filng
fills,fils
filming,filmng
finally,finaly
finding,findng
finished,finishd
floor,flor
flooring,florng
floors,flors
focusing,focusng
follow,folo
followed,folod
following,foloing
follows,folos
footing,footng
foreign,foren
formed,formd
former,formr
formers,formrs
forming,formng
free,fre
freeing,freing
frees,fres
friend,frend
friends,frends
full,ful
funding,fundng
further,furthr
future,futur
futures,futurs
gathered,gathrd
getting,getng
give,giv
gives,givs
giving,givng
goes,gos
gone,gon
government,govrnmnt
governments,govrnmnts
great,gret
greater,gretr
greats,grets
grounding,groundng
grouping,groupng
grow,gro
growing,groing
grows,gros
growth,groth
growths,groths
guy,gy
guys,gys
handing,handng
happen,hapn
happened,hapnd
happening,hapnng
happens,hapns
have,hav
haves,havs
having,havng
head,hed
heading,hedng
heads,heds
health,helth
heard,herd
hearing,hearng
heart,hart
hearts,harts
helped,helpd
helping,helpng
high,hy
higher,hyr
highs,hys
history,histry
holding,holdng
hospital,hospitl
hospitals,hospitls
hour,our
hours,ours
however,howevr
husband,husbnd
husbanding,husbndng
husbands,husbnds
identifying,identifyng
important,importnt
inches,inchs
increase,increse
increases,increses
individual,individul
individuals,individuls
information,infrmation
interest,intrest
interesting,intrestng
interests,intrests
international,intrnationl
internationals,intrnationls
involve,involv
involves,involvs
isn't,isnt
issue,isu
issues,isus
joined,joind
joining,joinng
jumped,jumpd
keeping,keepng
kill,kil
killed,kild
killing,kilng
kills,kils
knew,new
know,no
knowing,noing
knows,nos
landing,landng
larger,larjr
largest,larjst
lasting,lastng
laughed,lafd
lead,led
leader,leadr
leaders,leadrs
leading,leadng
leading,ledng
leads,leds
learn,lern
learned,lernd
learning,lernng
learns,lerns
leave,leve
leaves,leavs
leaves,leves
leaving,leving
letter,letr
lettering,letrng
letters,letrs
level,levl
leveling,levlng
levels,levls
lifted,liftd
light,lyt
lighting,lytng
lights,lyts
listen,lisn
listening,lisnng
listens,lisns
listing,listng
little,litl
live,liv
lives,livs
longer,longr
longing,longng
looked,lookd
looking,lookng
love,lov
loved,lovd
loves,lovs
low,lo
lowing,loing
lows,los
marked,markd
marketing,marketng
matter,matr
matters,matrs
meaning,meanng
meant,ment
medical,medicl
meeting,meetng
meetings,meetngs
member,membr
members,membrs
might,myt
military,militry
million,milion
millions,milions
minding,mindng
minute,minut
minutes,minuts
model,modl
modeling,modlng
models,modls
money,mony
more,mor
morning,mornng
mornings,mornngs
mother,mothr
mothering,mothrng
mothers,mothrs
movement,movemnt
movements,movemnts
movie,movi
movies,movis
national,nationl
nationals,nationls
natural,natrl
naturals,natrls
nature,natur
natures,naturs
nearest,nearst
nearing,nearng
needed,needd
needing,needng
never,nevr
night,nyt
nights,nyts
number,numbr
number,numr
numbering,numbrng
numbers,numbrs
occur,ocur
occurs,ocurs
offer,ofr
offering,ofrng
offers,ofrs
office,ofice
officer,oficer
officers,oficers
offices,ofices
official,oficial
officials,oficials
offing,ofng
often,ofn
oiling,oilng
older,oldr
opening,openng
opportunity,oprtunity
order,ordr
ordering,ordrng
orders,ordrs
organization,orgnization
organizations,orgnizations
other,othr
others,othrs
outing,outng
owning,ownng
paragraph,paragraf
parenting,parentng
particularly,particulrly
parting,partng
passed,pasd
passing,pasng
paying,payng
people,peple
peoples,peples
performance,performnce
performances,performnces
person,persn
personal,persnl
persons,persns
phone,fone
phones,fones
pick,pik
picked,pikd
picking,pikng
picks,piks
picture,pictur
pictures,picturs
piece,pece
pieces,peces
planting,plantng
played,playd
player,playr
players,playrs
playing,playng
pointed,pointd
pointing,pointng
political,politicl
politicals,politicls
positioning,positionng
possible,posbl
